2014-02-17 10:20:03,365 | INFO  | broker-a bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-a] Task-1137
2014-02-17 10:20:03,366 | INFO  | Connector vm://broker-a stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-430
2014-02-17 10:20:03,367 | WARN  | Could not start network bridge between: vm://broker-a?async=false&network=true and: ssl://localhost:61626 due to: javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path validation failed: java.security.cert.CertPathValidatorException: signature check failed | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-430
2014-02-17 10:20:33,369 | INFO  | Establishing network connection from vm://broker-a?async=false&network=true to ssl://localhost:61626 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-431
2014-02-17 10:20:33,370 | INFO  | Connector vm://broker-a started | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-431
2014-02-17 10:20:33,381 | INFO  | broker-a Shutting down | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-a] Task-1141
2014-02-17 10:20:33,384 | INFO  | broker-a bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-a] Task-1141
2014-02-17 10:20:33,387 | INFO  | Connector vm://broker-a stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-431
2014-02-17 10:20:33,388 | WARN  | Could not start network bridge between: vm://broker-a?async=false&network=true and: ssl://localhost:61626 due to: javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path validation failed: java.security.cert.CertPathValidatorException: signature check failed | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-431
2014-02-17 10:21:03,389 | INFO  | Establishing network connection from vm://broker-a?async=false&network=true to ssl://localhost:61626 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-432
2014-02-17 10:21:03,391 | INFO  | Connector vm://broker-a started | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-432
2014-02-17 10:21:03,399 | INFO  | broker-a Shutting down | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-a] Task-1143
2014-02-17 10:21:03,400 | INFO  | broker-a bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-a] Task-1143
2014-02-17 10:21:03,402 | INFO  | Connector vm://broker-a stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-432
2014-02-17 10:21:03,402 | WARN  | Could not start network bridge between: vm://broker-a?async=false&network=true and: ssl://localhost:61626 due to: javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path validation failed: java.security.cert.CertPathValidatorException: signature check failed | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-432
2014-02-17 10:21:33,404 | INFO  | Establishing network connection from vm://broker-a?async=false&network=true to ssl://localhost:61626 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-433
2014-02-17 10:21:33,405 | INFO  | Connector vm://broker-a started | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-433
2014-02-17 10:21:33,415 | INFO  | broker-a Shutting down | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-a] Task-1146
2014-02-17 10:21:33,417 | INFO  | broker-a bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-a] Task-1146
2014-02-17 10:21:33,418 | INFO  | Connector vm://broker-a stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-433
